company_id,cluster_id,cluster_name,distance_from_centroid
1,4,Emerging Growth,0.0
2,0,High Quality Compounders,0.0
3,2,Value Cyclicals,0.0
4,3,Distressed Turnaround,1.4901161193847656e-08
5,1,Defensive Dividend Payers,0.0
